Region,Product,Quantity,Unit Price,Revenue,Total
South,Product D,3,261,783,783
South,Product A,10,204,2040,2040
East,Product B,6,264,1584,1584
West,Product B,5,69,345,345
West,Product C,6,218,1308,1308
West,Product D,8,264,2112,2112
West,Product A,9,298,2682,2682
South,Product A,7,227,1589,1589
West,Product B,3,83,249,249
West,Product B,2,235,470,470
South,Product B,13,209,2717,2717
North,Product B,11,122,1342,1342
North,Product E,3,286,858,858
North,Product D,10,98,980,980
South,Product A,12,145,1740,1740
West,Product C,13,56,728,728
South,Product B,9,165,1485,1485
North,Product A,2,183,366,366
West,Product B,9,226,2034,2034
South,Product A,9,80,720,720
West,Product C,7,122,854,854
West,Product B,9,194,1746,1746
East,Product B,13,78,1014,1014
West,Product A,7,145,1015,1015
North,Product A,12,143,1716,1716
North,Product A,3,108,324,324
South,Product A,14,102,1428,1428
West,Product A,7,291,2037,2037
East,Product A,4,164,656,656
North,Product D,3,103,309,309
West,Product C,3,244,732,732
South,Product B,4,65,260,260
South,Product A,9,186,1674,1674
North,Product E,2,202,404,404
South,Product C,13,229,2977,2977
West,Product A,13,74,962,962
North,Product C,14,116,1624,1624
West,Product E,14,206,2884,2884
East,Product E,1,136,136,136
West,Product E,12,219,2628,2628
West,Product B,13,183,2379,2379
West,Product E,8,282,2256,2256
South,Product B,14,119,1666,1666
West,Product C,2,232,464,464
East,Product B,8,59,472,472
East,Product E,5,145,725,725
East,Product D,3,178,534,534
West,Product A,9,193,1737,1737
East,Product B,8,59,472,472
West,Product E,6,168,1008,1008
West,Product D,4,167,668,668
North,Product E,5,242,1210,1210
East,Product A,4,130,520,520
South,Product A,1,216,216,216
South,Product E,8,181,1448,1448
East,Product A,14,149,2086,2086
West,Product B,14,150,2100,2100
South,Product D,7,298,2086,2086
West,Product A,9,246,2214,2214
South,Product D,11,146,1606,1606
South,Product B,10,87,870,870
South,Product D,1,162,162,162
South,Product A,4,94,376,376
East,Product E,2,59,118,118
North,Product C,2,258,516,516
West,Product A,6,283,1698,1698
East,Product B,1,278,278,278
North,Product E,7,265,1855,1855
North,Product E,11,73,803,803
North,Product C,9,200,1800,1800
North,Product E,8,176,1408,1408
North,Product D,1,61,61,61
North,Product E,5,250,1250,1250
West,Product D,11,212,2332,2332
South,Product E,3,189,567,567
South,Product D,6,294,1764,1764
North,Product D,6,170,1020,1020
West,Product E,14,237,3318,3318
East,Product C,6,188,1128,1128
North,Product B,13,139,1807,1807
East,Product E,11,164,1804,1804
South,Product D,3,91,273,273
South,Product D,12,115,1380,1380
East,Product A,1,261,261,261
North,Product A,6,107,642,642
East,Product B,1,273,273,273
East,Product A,7,244,1708,1708
East,Product B,8,254,2032,2032
South,Product E,8,174,1392,1392
West,Product E,1,268,268,268
South,Product B,8,155,1240,1240
East,Product E,6,121,726,726
South,Product E,5,202,1010,1010
North,Product D,14,113,1582,1582
North,Product E,8,160,1280,1280
North,Product B,1,170,170,170
East,Product B,6,115,690,690
West,Product E,10,196,1960,1960
South,Product C,7,98,686,686
West,Product C,6,127,762,762
North,Product B,4,198,792,792
North,Product A,14,109,1526,1526
West,Product B,1,185,185,185
South,Product E,3,53,159,159
West,Product A,12,146,1752,1752
South,Product D,8,235,1880,1880
West,Product E,11,107,1177,1177
East,Product B,8,102,816,816
West,Product A,12,186,2232,2232
East,Product C,3,81,243,243
North,Product D,2,141,282,282
South,Product D,10,293,2930,2930
East,Product A,3,53,159,159
North,Product C,13,223,2899,2899
North,Product C,12,212,2544,2544
North,Product C,5,86,430,430
North,Product E,8,85,680,680
South,Product D,12,256,3072,3072
West,Product C,1,197,197,197
North,Product B,8,282,2256,2256
East,Product E,6,139,834,834
East,Product D,1,134,134,134
West,Product C,4,56,224,224
West,Product D,2,288,576,576
South,Product B,10,77,770,770
South,Product B,14,133,1862,1862
South,Product C,10,99,990,990
South,Product B,3,201,603,603
South,Product B,12,263,3156,3156
North,Product D,1,167,167,167
South,Product E,14,134,1876,1876
South,Product C,12,102,1224,1224
East,Product E,9,125,1125,1125
West,Product E,9,273,2457,2457
West,Product A,10,229,2290,2290
North,Product D,2,229,458,458
North,Product B,8,136,1088,1088
South,Product D,3,170,510,510
North,Product A,7,99,693,693
East,Product E,7,219,1533,1533
South,Product B,9,105,945,945
North,Product C,13,111,1443,1443
North,Product C,13,197,2561,2561
East,Product E,2,204,408,408
West,Product C,3,136,408,408
South,Product C,14,279,3906,3906
West,Product B,13,295,3835,3835
East,Product E,4,194,776,776
North,Product E,1,265,265,265
North,Product E,14,233,3262,3262
